guid/image/axis,value
01aaa345-52ad-4939-8207-2d39c11acfdc/0001/x,-0.5416591
01aaa345-52ad-4939-8207-2d39c11acfdc/0001/y,-1.1743865
01aaa345-52ad-4939-8207-2d39c11acfdc/0001/z,45.1816
01aaa345-52ad-4939-8207-2d39c11acfdc/0003/x,-5.9829173
01aaa345-52ad-4939-8207-2d39c11acfdc/0003/y,-1.3811136
01aaa345-52ad-4939-8207-2d39c11acfdc/0003/z,20.74772
01aaa345-52ad-4939-8207-2d39c11acfdc/0004/x,-14.878296
01aaa345-52ad-4939-8207-2d39c11acfdc/0004/y,-0.88706064
01aaa345-52ad-4939-8207-2d39c11acfdc/0004/z,30.498892
01aaa345-52ad-4939-8207-2d39c11acfdc/0005/x,22.79515
01aaa345-52ad-4939-8207-2d39c11acfdc/0005/y,-4.878015
01aaa345-52ad-4939-8207-2d39c11acfdc/0005/z,31.171677
01aaa345-52ad-4939-8207-2d39c11acfdc/0006/x,-30.41913
01aaa345-52ad-4939-8207-2d39c11acfdc/0006/y,-1.0565586
01aaa345-52ad-4939-8207-2d39c11acfdc/0006/z,37.042187
01aaa345-52ad-4939-8207-2d39c11acfdc/0008/x,14.338427
01aaa345-52ad-4939-8207-2d39c11acfdc/0008/y,-3.0535219
01aaa345-52ad-4939-8207-2d39c11acfdc/0008/z,32.109665
01aaa345-52ad-4939-8207-2d39c11acfdc/0009/x,0.34291303
01aaa345-52ad-4939-8207-2d39c11acfdc/0009/y,-1.2529237
01aaa345-52ad-4939-8207-2d39c11acfdc/0009/z,16.84259
01aaa345-52ad-4939-8207-2d39c11acfdc/0010/x,-20.96336
01aaa345-52ad-4939-8207-2d39c11acfdc/0010/y,-0.4293205
01aaa345-52ad-4939-8207-2d39c11acfdc/0010/z,25.93246
01aaa345-52ad-4939-8207-2d39c11acfdc/0012/x,7.2597265
01aaa345-52ad-4939-8207-2d39c11acfdc/0012/y,-2.2848454
01aaa345-52ad-4939-8207-2d39c11acfdc/0012/z,11.760042
01aaa345-52ad-4939-8207-2d39c11acfdc/0013/x,2.50572
01aaa345-52ad-4939-8207-2d39c11acfdc/0013/y,-1.9974635
01aaa345-52ad-4939-8207-2d39c11acfdc/0013/z,10.118769
01aaa345-52ad-4939-8207-2d39c11acfdc/0015/x,20.88823
01aaa345-52ad-4939-8207-2d39c11acfdc/0015/y,-1.9989065
01aaa345-52ad-4939-8207-2d39c11acfdc/0015/z,26.836988
01aaa345-52ad-4939-8207-2d39c11acfdc/0016/x,-23.62709
01aaa345-52ad-4939-8207-2d39c11acfdc/0016/y,-2.755547
01aaa345-52ad-4939-8207-2d39c11acfdc/0016/z,36.274208
